"strain" "emmean" "SE" "df" "lower.CL" "upper.CL"
"A_QG3118" 4.67909622041489 0.0905262344415379 93.7281421696696 4.4993474629063 4.85884497792347
"A_QG3119" 4.55847303136081 0.109916154973828 64.8821895729506 4.33894775494854 4.77799830777309
"A_QG3120" 4.71182475875655 0.084388523730506 162.315338437574 4.54518384508901 4.8784656724241
"A_QG3121" 5.14438712121731 0.10402133260453 144.27245083412 4.93878443896211 5.34998980347251
"A_QG3122" 4.70289637347457 0.0850035533094569 156.443995175562 4.53499364144481 4.87079910550432
"A_QG3123" 4.72090529978684 0.0850035533094569 156.443995175562 4.55300256775709 4.8888080318166
"A_QG3124" 4.80042903648484 0.084388523730506 162.315338437574 4.6337881228173 4.96706995015238
"A_QG3125" 4.67621130282559 0.082858064122295 182.830672624406 4.51273034723145 4.83969225841973
"A_QG3126" 4.73809403141344 0.0974212364156416 246.468068331076 4.54620968774654 4.92997837508033
"A_QG3127" 4.79612525900006 0.0720650680257082 144.159328147025 4.65368457642788 4.93856594157224
"A_QG3128" 4.60200277208623 0.0850035533094569 156.443995175562 4.43410004005648 4.76990550411599
"A_QG3129" 4.94446872391739 0.0766411823654572 89.6171950863109 4.7921987768185 5.09673867101627
"A_QG3130" 5.11670872400612 0.0992524185594067 219.913982079568 4.92110107927575 5.31231636873649
"A_QG3132" 4.62504512983521 0.0951959312462672 53.5123415502688 4.43414893756773 4.8159413221027
"A_QG3134" 4.65327480771234 0.0924215798216381 75.8680269983156 4.46919610031054 4.83735351511414
"A_QG3135" 4.76206165861708 0.136736071249675 253.501812863777 4.49277827966137 5.0313450375728
"A_QG3136" 4.539197685607 0.0612427777676873 88.4616503252004 4.41749938581564 4.66089598539837
"A_QG3137" 4.94951307395254 0.084388523730506 162.315338437574 4.78287216028499 5.11615398762008
"A_QG3138" 4.50336344155459 0.0607154083916682 94.1624546741649 4.38281428631156 4.62391259679763
"A_QG3139" 4.706027005444 0.0607154083916682 94.1624546741649 4.58547785020096 4.82657616068703
"A_QG3140" 4.99199029736311 0.0612427777676873 88.4616503252004 4.87029199757175 5.11368859715447
"A_QG3141" 4.60713895398345 0.0843885237305059 162.315338437574 4.4404980403159 4.77377986765099
"A_QG3142" 4.61013562757693 0.0951959312462672 53.5123415502687 4.41923943530945 4.80103181984441
"A_QG3205" 4.69873145376333 0.0607154083916682 94.1624546741649 4.57818229852029 4.81928060900636
"A_QG3206" 4.61554319770583 0.105674911551349 119.287191531701 4.40630149271632 4.82478490269533
"A_QG3207" 4.62711957883498 0.0905818836737317 92.9202609160691 4.44723987556343 4.80699928210653
"A_QG3208" 5.16983586329867 0.077262387900426 79.2925093147344 5.01605774764878 5.32361397894856
"A_QG3209" 4.68406469781937 0.0972425966825885 40.2333842198483 4.48756558557599 4.88056381006276
"A_QG3211" 4.63073749738445 0.0850035533094569 156.443995175562 4.46283476535469 4.7986402294142
"A_QG3212" 5.18259456086053 0.084388523730506 162.315338437574 5.01595364719299 5.34923547452807
"A_QG3213" 4.9694529267832 0.0950992354062837 263.473389247478 4.78220171250274 5.15670414106366
"A_QG3214" 4.98291021265231 0.0992524185594067 219.913982079568 4.78730256792193 5.17851785738268
"A_QG3215" 4.6561049253457 0.10402133260453 144.27245083412 4.4505022430905 4.8617076076009
"A_QG3217" 4.59839003971183 0.0972425966825885 40.2333842198483 4.40189092746844 4.79488915195521
"A_QG3219" 4.6419124597551 0.0843885237305059 162.315338437574 4.47527154608756 4.80855337342265
"A_QG3220" 5.12201720169615 0.10402133260453 144.27245083412 4.91641451944095 5.32761988395135
"A_QG3221" 4.87099659262546 0.0828580641222951 182.830672624406 4.70751563703132 5.0344775482196
"A_QG3222" 4.55710103632978 0.0951959312462672 53.5123415502688 4.36620484406229 4.74799722859726
"A_QG3223" 4.63176583132665 0.0924215798216381 75.8680269983156 4.44768712392485 4.81584453872845
"A_QG3224" 4.48117563076167 0.084388523730506 162.315338437572 4.31453471709413 4.64781654442922
"A_QG3225" 4.62295232463421 0.0850035533094569 156.443995175562 4.45504959260445 4.79085505666396
"A_QG3226" 4.69891054758596 0.084388523730506 162.315338437574 4.53226963391842 4.86555146125351
"A_QG3230" 4.60610578885078 0.0972425966825885 40.2333842198481 4.4096066766074 4.80260490109417
"A_QG3231" 5.07246530917902 0.0987261943562708 226.213024408843 4.87792472584218 5.26700589251585
"A_QG3232" 4.58722583909418 0.0730588690317359 131.169906319376 4.44269971390227 4.73175196428608
"A_QG3233" 4.66339291636923 0.0828580641222951 182.830672624404 4.49991196077509 4.82687387196336
"A_QG3234" 4.60329587516756 0.0951959312462672 53.5123415502687 4.41239968290008 4.79419206743504
"A_QG3235" 4.71545687066192 0.0850035533094569 156.443995175562 4.54755413863216 4.88335960269167
"A_QG3236" 4.5543980333434 0.0905262344415379 93.7281421696696 4.37464927583481 4.73414679085198
"A_QG3237" 4.63768140212928 0.0972425966825885 40.2333842198481 4.44118228988589 4.83418051437266
"A_QG3238" 4.73394947714151 0.0828580641222951 182.830672624406 4.57046852154737 4.89743043273565
"A_QG3239" 4.55126310199222 0.0905262344415379 93.7281421696696 4.37151434448363 4.73101185950081
"A_QG3240" 4.48734929834276 0.0972425966825885 40.2333842198481 4.29085018609937 4.68384841058614
"A_QG3241" 4.70289427519549 0.0828580641222951 182.830672624408 4.53941331960136 4.86637523078963
"A_QG3242" 4.83907771170246 0.0808003643866424 162.085853607651 4.6795205926443 4.99863483076063
"A_QG3243" 4.56257519055694 0.07754420082648 75.0634784500698 4.40810136224297 4.7170490188709
"A_QG3244" 4.63092709649814 0.0972425966825885 40.2333842198481 4.43442798425476 4.82742620874153
"A_QG3245" 4.6108679836713 0.0905818836737317 92.9202609160691 4.43098828039975 4.79074768694286
"A_QG3246" 4.70278973915743 0.0828580641222951 182.830672624408 4.53930878356329 4.86627069475156
"A_QG3248" 4.56552610830609 0.0607154083916683 94.1624546741619 4.44497695306306 4.68607526354913
"A_QG3249" 4.59967228507283 0.0974212364156416 246.46806833108 4.40778794140594 4.79155662873973
"A_QG3250" 4.79232104521799 0.105674911551349 119.287191531701 4.58307934022848 5.0015627502075
"A_QG3251" 4.55855182258512 0.0951959312462672 53.5123415502687 4.36765563031764 4.7494480148526
"A_QG3252" 4.85090267207425 0.0905262344415379 93.7281421696696 4.67115391456566 5.03065142958284
"A_QG3254" 4.67142777824285 0.0905818836737317 92.9202609160691 4.4915480749713 4.85130748151441
"A_QG3255" 4.68113828983709 0.0828580641222951 182.830672624406 4.51765733424295 4.84461924543123
"A_QG3256" 4.59858040496021 0.0905818836737317 92.9202609160691 4.41870070168865 4.77846010823176
"A_QG3257" 4.59421549209317 0.0905818836737317 92.9202609160691 4.41433578882162 4.77409519536472
"A_QG3258" 5.05611988625965 0.0951959312462672 53.5123415502688 4.86522369399217 5.24701607852713
"A_QG3261" 4.56796239318687 0.0612006244911894 88.343999758718 4.44634561267969 4.68957917369405
"A_QG3262" 4.64006620108538 0.0992524185594067 219.913982079565 4.444458556355 4.83567384581575
"A_QG3263" 4.80183641271489 0.0972425966825885 40.2333842198481 4.60533730047151 4.99833552495827
"A_QG3264" 4.72621827892244 0.0972425966825885 40.2333842198481 4.52971916667906 4.92271739116583
"A_QG3265" 4.85787146285152 0.0850035533094569 156.443995175562 4.68996873082177 5.02577419488128
"A_QG3266" 4.87206997928645 0.0828580641222951 182.830672624406 4.70858902369231 5.03555093488059
"A_QG3267" 5.05174607854319 0.0850035533094569 156.443995175562 4.88384334651344 5.21964881057295
"A_QG3321" 4.55036918631346 0.0828580641222951 182.830672624406 4.38688823071932 4.7138501419076
"A_QG3322" 4.54834468587066 0.0626408848865812 73.3117904858865 4.42351052664014 4.67317884510118
"A_QG3324" 4.66104391324832 0.0850035533094569 156.443995175562 4.49314118121857 4.82894664527808
"A_QG3327" 4.46476437444901 0.0905262344415379 93.7281421696696 4.28501561694043 4.6445131319576
"A_QG3331" 4.64328561441894 0.064160462296676 50.4011869639913 4.51444094423153 4.77213028460634
"A_QG3333" 4.63659422042566 0.0828580641222951 182.830672624406 4.47311326483152 4.80007517601979
"A_QG3334" 4.93642611231879 0.0653403207511322 115.097683768215 4.80700068011938 5.06585154451819
"A_QG3335" 4.72984514289829 0.0905262344415379 93.7281421696696 4.5500963853897 4.90959390040688
"A_QG3336" 4.49342728584891 0.084388523730506 162.315338437572 4.32678637218137 4.66006819951645
"A_QG3337" 4.56823798480319 0.082858064122295 182.830672624411 4.40475702920905 4.73171894039732
"A_QG3342" 4.63878972126321 0.0972425966825885 40.2333842198481 4.44229060901982 4.83528883350659
"A_QG3344" 4.59572549218796 0.0905262344415379 93.7281421696696 4.41597673467937 4.77547424969654
"A_QG3346" 4.60504552056033 0.0905262344415379 93.7281421696702 4.42529676305174 4.78479427806892
"A_QG3347" 4.62232512805217 0.0850035533094569 156.443995175564 4.45442239602241 4.79022786008192
"A_QG3380" 4.54810804585042 0.0730588690317359 131.169906319375 4.40358192065852 4.69263417104233
"A_QG3381" 4.85556462272138 0.0828580641222951 182.830672624406 4.69208366712724 5.01904557831552
"A_QG3383" 4.58003373600522 0.0843885237305059 162.315338437572 4.41339282233768 4.74667464967277
"A_QG3385" 4.61636302408727 0.0732993535301341 128.921155882344 4.47133761818025 4.76138842999429
"A_QG3387" 4.83727227651624 0.0987261943562707 226.213024408843 4.6427316931794 5.03181285985307
"A_QG3391" 4.67307672381739 0.0992524185594067 219.913982079561 4.47746907908702 4.86868436854777
"A_QG3392" 4.58132826192829 0.0974212364156416 246.468068331076 4.38944391826139 4.77321260559519
"A_QG3394" 4.7384713696744 0.0974212364156416 246.468068331076 4.5465870260075 4.93035571334129
"A_QG3395" 4.59523376153106 0.0905818836737317 92.9202609160691 4.4153540582595 4.77511346480261
"A_QG3396" 4.60146338859975 0.0972425966825885 40.2333842198481 4.40496427635637 4.79796250084313
"A_QG3397" 4.68990038151988 0.0843885237305059 162.315338437574 4.52325946785234 4.85654129518742
"A_QG3400" 4.59578281722519 0.0905262344415379 93.7281421696696 4.4160340597166 4.77553157473378
"A_QG3403" 4.74733198427974 0.0951959312462672 53.5123415502688 4.55643579201226 4.93822817654722
"A_QG3404" 4.92048488260162 0.0905818836737317 92.9202609160685 4.74060517933006 5.10036458587317
"A_QG3408" 4.57081645639958 0.0951959312462673 53.5123415502687 4.3799202641321 4.76171264866707
"A_QG3409" 4.69326093557221 0.0612427777676873 88.4616503252004 4.57156263578085 4.81495923536358
"A_QG3410" 4.93838835217944 0.0945369654975398 260.410237012361 4.7522341483268 5.12454255603207
"A_QG3456" 4.69630621463507 0.0850035533094569 156.443995175564 4.52840348260531 4.86420894666482
"A_QG3457" 4.70679953283649 0.0843885237305059 162.315338437574 4.54015861916895 4.87344044650403
"A_QG3458" 4.71754638062165 0.0850035533094569 156.443995175562 4.5496436485919 4.88544911265141
"A_QG3463" 4.7673773633486 0.10402133260453 144.27245083412 4.5617746810934 4.9729800456038
"A_QG3464" 4.71945789998276 0.0974212364156416 246.468068331076 4.52757355631587 4.91134224364966
"A_QG3465" 4.61313479853838 0.0972425966825885 40.2333842198482 4.416635686295 4.80963391078177
"A_QG3470" 4.82441165695452 0.10402133260453 144.27245083412 4.61880897469932 5.03001433920972
"A_QG3473" 4.57478068256214 0.071157551152575 140.10393650371 4.43409929120961 4.71546207391467
"A_QG3474" 4.64634448592239 0.0905818836737317 92.9202609160685 4.46646478265084 4.82622418919394
"A_QG3479" 4.66668361781368 0.0951959312462672 53.5123415502688 4.4757874255462 4.85757981008117
"A_QG3481" 4.61176761970696 0.0951959312462672 53.5123415502688 4.42087142743948 4.80266381197444
"A_QG3483" 4.86304852348037 0.0495398235852141 40.4133532290513 4.76295669583972 4.96314035112102
"A_QG3485" 5.42173032476508 0.0905818836737317 92.9202609160697 5.24185062149353 5.60161002803663
"A_QG3488" 4.88730661402193 0.0828580641222951 182.830672624406 4.72382565842779 5.05078756961607
"A_QG3489" 4.75965940548899 0.0905818836737317 92.9202609160685 4.57977970221743 4.93953910876054
"A_QG3494" 4.65211948598478 0.0843885237305059 162.315338437574 4.48547857231724 4.81876039965233
"A_QG3502" 4.88429327798135 0.0972425966825885 40.2333842198481 4.68779416573797 5.08079239022473
"A_QG3509" 4.89778807111829 0.136736071249675 253.501812863777 4.62850469216257 5.167071450074
"A_QG3510" 4.95982099516878 0.0905262344415379 93.7281421696696 4.78007223766019 5.13956975267736
"B_QG3182" 4.68767360706344 0.09746837990909 38.0351426190875 4.49036517438713 4.88498203973976
"B_QG3305" 5.00652778453334 0.09746837990909 38.0351426190875 4.80921935185703 5.20383621720965
